Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
182;21100262313;"Worldwide Hospitality and Tourism Themes";journal;"17554217, 17554225";0,374;Q3;17;53;218;1614;256;192;1,47;30,45;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2009-2020";"Development (Q2); Management, Monitoring, Policy and Law (Q3); Tourism, Leisure and Hospitality Management (Q3)"
183;27789;"International Journal of Marine and Coastal Law";journal;"09273522, 15718085";0,373;Q3;26;35;90;955;48;89;0,61;27,29;Netherlands;Western Europe;"Martinus Nijhoff Publishers";"1986-2020";"Environmental Science (miscellaneous) (Q2); Geography, Planning and Development (Q2); Law (Q2); Management, Monitoring, Policy and Law (Q3); Oceanography (Q3)"
184;21100205753;"Journal of Water and Climate Change";journal;"20402244";0,373;Q3;19;53;170;2258;202;168;1,18;42,60;United Kingdom;Western Europe;"IWA Publishing";"2010-2019";"Water Science and Technology (Q2); Atmospheric Science (Q3); Global and Planetary Change (Q3); Management, Monitoring, Policy and Law (Q3)"
185;21100777176;"ACM SIGGRAPH 2016 Emerging Technologies, SIGGRAPH 2016";conference and proceedings;"-";0,372;-;6;0;23;0;46;22;0,00;0,00;United States;Northern America;"";"";"Management, Monitoring, Policy and Law; Pollution; Water Science and Technology"
186;21568;"Monthly Review";journal;"00270520";0,370;Q3;30;49;190;1830;90;154;0,57;37,35;United States;Northern America;"Monthly Review Press";"1977, 1980-1982, 1984, 1987, 1996-2019";"Gender Studies (Q2); Geography, Planning and Development (Q2); Sociology and Political Science (Q2); Management, Monitoring, Policy and Law (Q3)"
187;4700152496;"Landscape and Ecological Engineering";journal;"18601871, 1860188X";0,358;Q3;24;44;80;2009;115;72;1,78;45,66;Japan;Asiatic Region;"Springer Japan";"2006-2020";"Ecology (Q3); Management, Monitoring, Policy and Law (Q3); Nature and Landscape Conservation (Q3)"
188;21100297819;"Ribarstvo, Croatian Journal of Fisheries";journal;"1330061X, 18480586";0,355;Q3;10;16;61;1949;62;57;1,08;121,81;Croatia;Eastern Europe;"University of Zagreb";"1993-1997, 2013-2020";"Aquatic Science (Q3); Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Management, Monitoring, Policy and Law (Q3)"
189;21100207622;"International Journal of Social Ecology and Sustainable Development";journal;"19478410, 19478402";0,352;Q3;8;20;54;933;66;54;1,46;46,65;United States;Northern America;"IGI Global Publishing";"2010-2020";"Development (Q2); Ecology (Q3); Environmental Engineering (Q3); Management, Monitoring, Policy and Law (Q3)"
190;21100435556;"Regional Science Policy and Practice";journal;"17577802";0,352;Q3;6;76;54;3321;65;51;1,40;43,70;United States;Northern America;"John Wiley and Sons Inc.";"2015-2020";"Development (Q2); Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q3)"
191;25818;"International Journal of Refugee Law";journal;"14643715, 09538186";0,350;Q3;31;39;86;1029;52;75;0,59;26,38;United Kingdom;Western Europe;"Oxford University Press";"1989-2019";"Demography (Q2); Law (Q2); Management, Monitoring, Policy and Law (Q3)"
192;21100286802;"Jamba: Journal of Disaster Risk Studies";journal;"2072845X, 19961421";0,346;Q3;9;28;80;1016;76;76;1,10;36,29;South Africa;Africa;"AOSIS (Pty) Ltd";"2013-2019";"Safety Research (Q2); Management, Monitoring, Policy and Law (Q3)"
193;5800204545;"International Environmental Law";book series;"18736599";0,344;Q3;2;0;18;0;1;2;1,00;0,00;Netherlands;Western Europe;"Brill Academic Publishers";"2006, 2013-2014, 2016-2017";"Law (Q2); Management, Monitoring, Policy and Law (Q3)"
194;21100413836;"European Countryside";journal;"18038417";0,341;Q3;10;36;118;1903;136;118;1,09;52,86;Germany;Western Europe;"de Gruyter";"2012-2019";"Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q3); Nature and Landscape Conservation (Q3)"
195;19900192609;"Conservation Evidence";journal;"17582067";0,338;Q3;9;10;47;128;32;47;0,59;12,80;United Kingdom;Western Europe;"University of Cambridge";"2011-2020";"Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Management, Monitoring, Policy and Law (Q3); Nature and Landscape Conservation (Q3)"
196;19375;"Water S.A.";journal;"18167950, 03784738";0,336;Q3;56;76;227;3175;272;223;1,17;41,78;South Africa;Africa;"South African Water Research Commission";"1976-2020";"Applied Microbiology and Biotechnology (Q3); Management, Monitoring, Policy and Law (Q3); Waste Management and Disposal (Q3); Water Science and Technology (Q3)"
197;21100208022;"Ethics, Policy and Environment";journal;"21550093, 21550085";0,335;Q3;14;30;104;990;80;76;1,06;33,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2011-2020";"Philosophy (Q1); Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q3)"
198;19400157013;"Problemy Ekorozwoju";journal;"18956912, 20801971";0,329;Q3;18;39;112;1569;123;109;1,29;40,23;Poland;Eastern Europe;"Politechnika Lubelska";"2008-2020";"Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q3); Renewable Energy, Sustainability and the Environment (Q3)"
199;5800179628;"Australasian Journal of Environmental Management";journal;"14486563, 21595356";0,328;Q3;24;28;88;1482;88;74;1,22;52,93;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2020";"Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q3)"
200;12000154347;"Environmental Engineering and Management Journal";journal;"15829596";0,322;Q3;33;254;853;10259;964;845;1,31;40,39;Romania;Eastern Europe;"Gh. Asachi Technical University of Iasi";"1988, 2002-2019";"Environmental Engineering (Q3); Management, Monitoring, Policy and Law (Q3); Pollution (Q3)"
201;21100812103;"Bulletin of the Tomsk Polytechnic University, Geo Assets Engineering";journal;"24131830, 25001019";0,317;Q3;8;223;456;6349;362;456;0,93;28,47;Russian Federation;Eastern Europe;"Tomsk Polytechnic University";"2015-2020";"Economic Geology (Q3); Fuel Technology (Q3); Geotechnical Engineering and Engineering Geology (Q3); Management, Monitoring, Policy and Law (Q3); Materials Science (miscellaneous) (Q3); Waste Management and Disposal (Q3)"
202;16730;"Aquatic Ecosystem Health and Management";journal;"15394077, 14634988";0,315;Q3;39;44;151;1985;115;135;0,72;45,11;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1998-2019";"Aquatic Science (Q3); Ecology (Q3); Management, Monitoring, Policy and Law (Q3)"
203;21100208039;"International Journal of Urban Sustainable Development";journal;"19463138, 19463146";0,314;Q3;13;27;59;1500;53;52;1,05;55,56;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2020";"Urban Studies (Q2); Development (Q3); Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q3)"
204;21100776057;"Proceedings - ASPE/euspen 2016 Summer Topical Meeting: Dimensional Accuracy and Surface Finish in Additive Manufacturing";conference and proceedings;"-";0,312;-;5;0;42;0;20;39;0,00;0,00;United States;Northern America;"";"";"Global and Planetary Change; Management, Monitoring, Policy and Law; Pollution; Waste Management and Disposal"
205;21100204121;"Agris On-line Papers in Economics and Informatics";journal;"18041930";0,310;Q3;13;40;122;1285;127;122;0,96;32,13;Czech Republic;Eastern Europe;"Faculty of Economics and Management CULS Prague";"2011-2019";"Agricultural and Biological Sciences (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q3)"
206;21100886226;"International Journal of Evidence and Proof";journal;"13657127, 17405572";0,309;Q3;3;40;26;1063;16;20;0,80;26,58;United Kingdom;Western Europe;"SAGE Publications Ltd";"2018-2020";"Law (Q2); Sociology and Political Science (Q2); Management, Monitoring, Policy and Law (Q3)"
207;20441;"Tuexenia";journal;"0722494X";0,309;Q3;14;0;45;0;39;45;0,84;0,00;Germany;Western Europe;"The Floristisch-soziologische Arbeitsgemeinschaft";"1985, 2011-2018";"Ecology (Q3); Management, Monitoring, Policy and Law (Q3); Nature and Landscape Conservation (Q3); Plant Science (Q3)"
208;11700154716;"Geography and Natural Resources";journal;"1875371X, 18753728";0,299;Q3;10;48;147;1119;73;147;0,49;23,31;Russian Federation;Eastern Europe;"Pleiades Publishing";"2008-2019";"Earth-Surface Processes (Q3); Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q3)"
209;21100898050;"Social Enterprise Journal";journal;"17508533, 17508614";0,291;Q3;4;30;28;2087;33;25;1,32;69,57;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2012, 2018-2020";"Economics, Econometrics and Finance (miscellaneous) (Q2); Sociology and Political Science (Q2); Business, Management and Accounting (miscellaneous) (Q3); Development (Q3); Management, Monitoring, Policy and Law (Q3)"
210;21100841705;"Ecology and Industry of Russia";journal;"24136042, 18160395";0,288;Q3;6;130;413;1416;183;413;0,51;10,89;Russian Federation;Eastern Europe;"";"2016-2020";"Ecology (Q3); Management, Monitoring, Policy and Law (Q3); Pollution (Q3)"
211;24405;"Journal of Regional Analysis and Policy";journal;"10904999";0,288;Q3;20;8;61;315;37;60;0,44;39,38;United States;Northern America;"University of Nebraska at Lincoln";"1996-2020";"Political Science and International Relations (Q2); Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q3)"
212;55750;"Human Ecology Review";journal;"10744827";0,285;Q3;39;16;46;722;32;41;0,60;45,13;United States;Northern America;"Society for Human Ecology";"1998-2019";"Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q3)"
213;19300156808;"AACL Bioflux";journal;"18449166, 18448143";0,277;Q3;14;189;508;6481;440;507;0,86;34,29;Romania;Eastern Europe;"Bioflux Publishing House";"2006, 2009-2020";"Aquatic Science (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Management, Monitoring, Policy and Law (Q3); Water Science and Technology (Q3)"
214;21100205986;"International Journal of Global Warming";journal;"17582091, 17582083";0,274;Q3;18;70;217;2675;173;213;0,79;38,21;Switzerland;Western Europe;"Inderscience Publishers";"2011-2020";"Management, Monitoring, Policy and Law (Q3); Atmospheric Science (Q4); Global and Planetary Change (Q4)"
215;22766;"Asia Pacific Journal of Environmental Law";journal;"18758258, 13852140";0,271;Q3;6;15;27;624;15;24;0,56;41,60;Australia;Pacific Region;"Edward Elgar Publishing Ltd.";"1996-2002, 2004-2011, 2013-2019";"Management, Monitoring, Policy and Law (Q3)"
216;19700174747;"Journal of Green Building";journal;"19434618, 15526100";0,266;Q3;19;45;114;1658;91;113;0,86;36,84;United States;Northern America;"College Publishing";"2006-2019";"Architecture (Q1); Building and Construction (Q3); Civil and Structural Engineering (Q3); Environmental Engineering (Q3); Environmental Science (miscellaneous) (Q3); Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q3); Nature and Landscape Conservation (Q3); Public Health, Environmental and Occupational Health (Q3)"
217;25759;"Environmental Forensics";journal;"15275930, 15275922";0,264;Q3;35;33;98;1518;109;95;0,85;46,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2000-2020";"Management, Monitoring, Policy and Law (Q3); Waste Management and Disposal (Q3)"
218;12400154728;"Journal of Environmental Protection and Ecology";journal;"13115065";0,263;Q3;19;267;353;4280;314;347;0,87;16,03;Bulgaria;Eastern Europe;"Scibulcom Ltd.";"2008-2020";"Management, Monitoring, Policy and Law (Q3); Nature and Landscape Conservation (Q3); Pollution (Q3); Waste Management and Disposal (Q3)"
219;4700152709;"Progress in Industrial Ecology";journal;"14788764, 14768917";0,262;Q3;20;24;86;772;105;83;1,59;32,17;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2006-2010, 2012-2020";"Economics, Econometrics and Finance (miscellaneous) (Q2); Development (Q3); Ecology (Q3); Management, Monitoring, Policy and Law (Q3); Waste Management and Disposal (Q3)"
220;21100385605;"Smart and Sustainable Built Environment";journal;"20466102, 20466099";0,259;Q3;12;54;53;2630;61;49;1,23;48,70;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2012-2020";"Urban Studies (Q2); Building and Construction (Q3); Civil and Structural Engineering (Q3); Management, Monitoring, Policy and Law (Q3); Renewable Energy, Sustainability and the Environment (Q3); Human Factors and Ergonomics (Q4)"
221;21100246540;"International Journal of Technology Management and Sustainable Development";journal;"14742748, 20400551";0,258;Q3;6;16;47;697;23;45;0,55;43,56;United Kingdom;Western Europe;"Intellect Ltd.";"2013-2019";"Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q3); Management of Technology and Innovation (Q3)"
222;21100967540;"Polityka Energetyczna";journal;"14296675";0,251;Q3;4;40;117;887;60;117;0,59;22,18;Poland;Eastern Europe;"Mineral and Energy Economy Research Institute of the Polish Academy of Sciences";"2016-2019";"Energy (miscellaneous) (Q3); Management, Monitoring, Policy and Law (Q3)"
223;21100224449;"Eco.mont";journal;"20731558, 2073106X";0,249;Q3;8;16;72;380;32;65;0,53;23,75;Austria;Western Europe;"The Austrian Academy of Sciences Press";"2009-2020";"Ecology (Q3); Management, Monitoring, Policy and Law (Q3); Nature and Landscape Conservation (Q3)"
224;75950;"International Journal of Agricultural Resources, Governance and Ecology";journal;"14624605";0,248;Q3;21;21;66;892;38;66;0,74;42,48;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2000-2009, 2011-2012, 2014-2019";"Agronomy and Crop Science (Q3); Ecology (Q3); Management, Monitoring, Policy and Law (Q3)"
225;130176;"Environmental Practice";journal;"14660474, 14660466";0,246;Q3;23;23;89;526;48;69;0,58;22,87;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1999-2019";"Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q3)"
226;19600162203;"Journal of East European Management Studies";journal;"09496181, 18620019";0,245;Q3;15;41;83;2388;61;71;0,76;58,24;Germany;Western Europe;"Taylor and Francis Ltd.";"1996-2001, 2004-2019";"Business and International Management (Q3); Industrial Relations (Q3); Management, Monitoring, Policy and Law (Q3); Strategy and Management (Q3)"
227;21100787105;"Journal of Environmental Accounting and Management";journal;"23256206, 23256192";0,245;Q3;10;29;84;1344;64;84;0,85;46,34;United States;Northern America;"L &amp; H Scientific Publishing, LLC";"2013-2020";"Urban Studies (Q2); Accounting (Q3); Ecology (Q3); Management, Monitoring, Policy and Law (Q3); Strategy and Management (Q3); Ecological Modeling (Q4)"
228;23347;"Journal of Environmental Assessment Policy and Management";journal;"14643332";0,243;Q3;27;21;77;1131;54;66;0,71;53,86;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"2003-2019";"Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q3)"
229;21100812113;"Journal of Rangeland Science";journal;"2423642X, 20089996";0,242;Q3;5;27;106;997;47;106;0,38;36,93;Iran;Middle East;"Islamic Azad University";"2016-2019";"Ecology (Q3); Management, Monitoring, Policy and Law (Q3); Nature and Landscape Conservation (Q3)"
230;22273;"Peace Economics, Peace Science and Public Policy";journal;"15548597, 10792457";0,238;Q3;15;29;81;1237;53;77;0,54;42,66;Germany;Western Europe;"Walter de Gruyter GmbH";"1994-1996, 1999-2020";"Political Science and International Relations (Q2); Economics and Econometrics (Q3); Management, Monitoring, Policy and Law (Q3); Sociology and Political Science (Q3)"
231;21100275968;"Journal for European Environmental and Planning Law";journal;"18760104, 16137272";0,233;Q3;7;16;59;538;21;53;0,32;33,63;Netherlands;Western Europe;"Brill Academic Publishers";"2013-2020";"Law (Q2); Management, Monitoring, Policy and Law (Q3)"
232;21100806903;"Journal of Threatened Taxa";journal;"09747907, 09747893";0,231;Q3;6;244;609;7319;230;482;0,45;30,00;India;Asiatic Region;"Wildlife Information &amp; Liaison Development Society";"2016-2020";"Animal Science and Zoology (Q3); Management, Monitoring, Policy and Law (Q3); Nature and Landscape Conservation (Q3); Ecology, Evolution, Behavior and Systematics (Q4)"
233;21100812868;"Evergreen";journal;"21890420";0,229;Q3;8;43;70;1186;62;61;0,96;27,58;Japan;Asiatic Region;"Novel Carbon Resource Sciences";"2014-2019";"Management, Monitoring, Policy and Law (Q3); Surfaces, Coatings and Films (Q3); Ceramics and Composites (Q4); Electronic, Optical and Magnetic Materials (Q4)"
234;19700170838;"International Journal of Rural Management";journal;"09730680, 09730052";0,229;Q3;10;14;30;716;21;27;0,47;51,14;India;Asiatic Region;"Sage Publications India Pvt. Ltd";"2006-2010, 2012-2020";"Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q3); Strategy and Management (Q3)"
235;21100456855;"International Review for Spatial Planning and Sustainable Development";journal;"21873666";0,227;Q3;7;37;106;1118;61;96;0,61;30,22;Japan;Asiatic Region;"Spatial Planning and Sustainable Development";"2013-2020";"Urban Studies (Q2); Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q3)"
236;21100248905;"Green Energy and Technology";book series;"18653537, 18653529";0,225;Q3;23;383;1242;10918;553;199;5,13;28,51;United States;Northern America;"Springer Science + Business Media";"2010-2020";"Energy Engineering and Power Technology (Q3); Industrial and Manufacturing Engineering (Q3); Management, Monitoring, Policy and Law (Q3); Renewable Energy, Sustainability and the Environment (Q4)"
237;23416;"Journal of International Wildlife Law and Policy";journal;"15481476, 13880292";0,225;Q3;18;15;45;322;30;45;0,50;21,47;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1998-2019";"Law (Q2); Ecology (Q3); Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q3)"
238;21100776187;"Proceedings of the 2015 International Conference on Microwave and Photonics, ICMAP 2015";conference and proceedings;"-";0,225;-;1;0;1;0;1;1;0,00;0,00;United States;Northern America;"";"";"Chemical Engineering (miscellaneous); Law; Management, Monitoring, Policy and Law; Waste Management and Disposal"
239;21100828132;"Aestimum";journal;"15926117, 17242118";0,224;Q3;7;11;34;569;34;33;0,95;51,73;Italy;Western Europe;"Firenze University Press";"2008-2019";"Urban Studies (Q2); Ecology (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3); Management, Monitoring, Policy and Law (Q3); Nature and Landscape Conservation (Q3)"
240;21100842186;"Clean Air Journal";journal;"2410972X, 10171703";0,223;Q3;3;19;40;388;19;24;0,79;20,42;United States;Northern America;"National Association of Clean Air";"2017-2019";"Management, Monitoring, Policy and Law (Q3); Pollution (Q3)"
241;16400154787;"Sustainability";journal;"19370709, 19370695";0,222;Q3;12;40;110;1029;71;91;0,56;25,73;United States;Northern America;"Mary Ann Liebert Inc.";"2009-2020";"Education (Q3); Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q3); Renewable Energy, Sustainability and the Environment (Q4)"
242;14298;"Harvard Environmental Law Review";journal;"01478257";0,221;Q3;30;12;34;2343;13;34;0,48;195,25;United States;Northern America;"Harvard University";"1979-1983, 1987, 1989, 1996-2019";"Law (Q2); Environmental Science (miscellaneous) (Q3); Management, Monitoring, Policy and Law (Q3)"
243;5200153101;"International Journal of Sustainable Development and Planning";journal;"1743761X, 17437601";0,219;Q3;13;29;314;701;233;313;0,74;24,17;United Kingdom;Western Europe;"International Information and Engineering Technology Association";"2006-2020";"Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q3); Renewable Energy, Sustainability and the Environment (Q4)"
244;21100818914;"Journal of Landscape Ecology(Czech Republic)";journal;"18054196, 18032427";0,215;Q3;6;11;71;226;40;71;0,61;20,55;Germany;Western Europe;"de Gruyter";"2013, 2015-2020";"Management, Monitoring, Policy and Law (Q3); Nature and Landscape Conservation (Q3); Ecology (Q4)"
245;21100824048;"International Journal of Climate Change: Impacts and Responses";journal;"18357156";0,214;Q3;2;8;28;364;16;28;0,57;45,50;United States;Northern America;"Common Ground Research Networks";"2017-2019";"Management, Monitoring, Policy and Law (Q3); Atmospheric Science (Q4); Global and Planetary Change (Q4)"
246;21100792103;"Applied Biosafety";journal;"15356760, 24701246";0,210;Q3;4;27;84;564;35;74;0,52;20,89;United States;Northern America;"SAGE Publications Inc.";"2001, 2014-2020";"Biotechnology (Q3); Management, Monitoring, Policy and Law (Q3); Health, Toxicology and Mutagenesis (Q4); Public Health, Environmental and Occupational Health (Q4)"
247;21100818734;"European Journal of Environmental Sciences";journal;"23361964, 18050174";0,210;Q3;3;7;39;206;24;39;0,65;29,43;Czech Republic;Eastern Europe;"Charles University in Prague";"2016-2019";"Management, Monitoring, Policy and Law (Q3); Nature and Landscape Conservation (Q3); Pollution (Q3); Ecology (Q4)"
248;19900191954;"Journal of the Indian Ocean Region";journal;"1948108X, 19480881";0,209;Q3;10;27;68;1261;39;55;0,73;46,70;United States;Northern America;"Taylor and Francis Inc.";"2010-2020";"Management, Monitoring, Policy and Law (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3); Water Science and Technology (Q3); Oceanography (Q4)"
249;21100827893;"Sustainable Development of Mountain Territories";journal;"19984502, 2499975X";0,207;Q3;4;40;107;959;39;107;0,36;23,98;Russian Federation;Eastern Europe;"North Caucasian Institute of Mining and Metallurgy, State Technological University";"2017-2019";"Earth and Planetary Sciences (miscellaneous) (Q3); Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q3); Mechanical Engineering (Q3); Sociology and Political Science (Q3); Renewable Energy, Sustainability and the Environment (Q4)"
250;5000160301;"Environmental Quality Management";journal;"15206483, 10881913";0,205;Q4;25;60;134;2215;101;132;0,83;36,92;United States;Northern America;"John Wiley and Sons Inc.";"1991-2019";"Pollution (Q3); Waste Management and Disposal (Q3); Management, Monitoring, Policy and Law (Q4); Public Health, Environmental and Occupational Health (Q4)"
251;21499;"Environmental Policy and Law";journal;"0378777X";0,204;Q4;11;49;181;1252;39;168;0,20;25,55;Netherlands;Western Europe;"IOS Press";"1975-2020";"Environmental Science (miscellaneous) (Q3); Law (Q3); Management, Monitoring, Policy and Law (Q4)"
252;23368;"Journal of Environmental Health";journal;"00220892";0,199;Q4;31;72;222;1019;92;163;0,52;14,15;United States;Northern America;"National Environmental Health Association";"1973-2020";"Medicine (miscellaneous) (Q3); Health, Toxicology and Mutagenesis (Q4); Management, Monitoring, Policy and Law (Q4); Public Health, Environmental and Occupational Health (Q4)"
253;21100865012;"Economia Agro-Alimentare";journal;"19724802, 11261668";0,197;Q4;8;26;66;1074;44;57;0,88;41,31;Italy;Western Europe;"FrancoAngeli Edizioni";"2012-2019";"Agricultural and Biological Sciences (miscellaneous) (Q3); Business, Management and Accounting (miscellaneous) (Q3); Geography, Planning and Development (Q3); Social Sciences (miscellaneous) (Q3); Agronomy and Crop Science (Q4); Economics and Econometrics (Q4); Food Animals (Q4); Food Science (Q4); Management, Monitoring, Policy and Law (Q4)"
254;21100415501;"Journal of Marine and Island Cultures";journal;"22126821";0,196;Q4;10;9;47;316;29;47;0,21;35,11;Netherlands;Western Europe;"Institution for Marine and Island Cultures, Mokpo National University";"2012-2019";"Cultural Studies (Q2); Anthropology (Q3); Nature and Landscape Conservation (Q3); Management, Monitoring, Policy and Law (Q4)"
255;21100228047;"Economics and Policy of Energy and the Environment";journal;"22807667, 22807659";0,193;Q4;6;0;61;0;26;59;0,26;0,00;Italy;Western Europe;"FrancoAngeli Edizioni";"2009-2010, 2012-2018";"Economics and Econometrics (Q4); Management, Monitoring, Policy and Law (Q4); Renewable Energy, Sustainability and the Environment (Q4)"
256;22752;"International Journal of Environment and Sustainable Development";journal;"14787466, 14746778";0,193;Q4;18;21;71;977;44;69;0,63;46,52;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2002-2020";"Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q4); Renewable Energy, Sustainability and the Environment (Q4)"
257;21100317750;"Journal of Environmental Management and Tourism";journal;"20687729";0,192;Q4;11;199;413;5838;560;413;1,33;29,34;Germany;Western Europe;"ASERS Publishing";"2013-2019";"Economics and Econometrics (Q4); Management, Monitoring, Policy and Law (Q4); Tourism, Leisure and Hospitality Management (Q4)"
258;23996;"International Journal of Environment and Pollution";journal;"09574352, 17415101";0,191;Q4;43;39;116;1390;59;113;0,45;35,64;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"1991-2019";"Waste Management and Disposal (Q3); Management, Monitoring, Policy and Law (Q4); Pollution (Q4)"
259;19203;"Journal of Aquatic Plant Management (discontinued)";journal;"01466623";0,189;Q4;29;0;39;0;30;39;0,50;0,00;United States;Northern America;"Aquatic Plant Management Society, Inc.";"1979, 1994-2017";"Aquatic Science (Q4); Management, Monitoring, Policy and Law (Q4); Plant Science (Q4)"
260;21100855501;"GMSARN International Journal";journal;"19059094";0,188;Q4;2;24;48;488;19;48;0,40;20,33;Thailand;Asiatic Region;"Greater Mekong Subregion Academic and Research Network, Asian Institute of Technology";"2017-2020";"Energy Engineering and Power Technology (Q3); Environmental Science (miscellaneous) (Q3); Management, Monitoring, Policy and Law (Q4); Renewable Energy, Sustainability and the Environment (Q4)"
261;21100785514;"Journal of Fishery Sciences of China";journal;"10058737";0,188;Q4;4;37;302;1257;94;302;0,31;33,97;China;Asiatic Region;"Chinese Academy of Fishery Sciences";"2016-2019";"Aquatic Science (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Management, Monitoring, Policy and Law (Q4)"
262;21100787088;"Journal of Fisheries of China";journal;"10000615";0,186;Q4;5;178;590;6564;195;590;0,32;36,88;China;Asiatic Region;"Shanghai Ocean University";"2016-2020";"Aquatic Science (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Management, Monitoring, Policy and Law (Q4)"
263;11000153705;"Journal of Transnational Management";journal;"15475778, 15475786";0,185;Q4;14;18;47;908;31;37;0,52;50,44;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2005-2020";"Development (Q3); Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q4)"
264;23268;"International Journal of Global Environmental Issues";journal;"14666650, 17415136";0,181;Q4;21;14;55;585;31;54;0,69;41,79;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2001-2019";"Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q4)"
265;21100872124;"Journal of Property, Planning and Environmental Law";journal;"25149407";0,179;Q4;10;19;49;740;25;45;0,60;38,95;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2018-2020";"Law (Q3); Urban Studies (Q3); Management, Monitoring, Policy and Law (Q4)"
266;11700154508;"Ethics in Science and Environmental Politics";journal;"16118014";0,178;Q4;17;1;21;38;10;19;0,54;38,00;Germany;Western Europe;"Inter-Research";"2001-2019";"Philosophy (Q2); Sociology and Political Science (Q3); Ecology (Q4); Education (Q4); Management, Monitoring, Policy and Law (Q4)"
267;23267;"International Journal of Environmental Technology and Management";journal;"1741511X, 14662132";0,176;Q4;20;29;70;1335;45;70;0,56;46,03;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2001-2019";"Environmental Engineering (Q4); Management, Monitoring, Policy and Law (Q4)"
268;4700152640;"Austrian Journal of Forest Science";journal;"03795292";0,175;Q4;12;15;66;924;28;66;0,38;61,60;Austria;Western Europe;"Osterreichischer Agrarverlag GmbH";"2006-2019";"Ecology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Forestry (Q4); Management, Monitoring, Policy and Law (Q4); Nature and Landscape Conservation (Q4)"
269;21100894876;"State Crime Journal";journal;"20466056";0,175;Q4;1;6;18;368;4;17;0,24;61,33;United Kingdom;Western Europe;"Pluto Journals";"2018-2019";"Law (Q3); Management, Monitoring, Policy and Law (Q4)"
270;21100890390;"Australian Journal of Maritime and Ocean Affairs";journal;"23336498, 18366503";0,174;Q4;5;16;44;695;21;38;0,55;43,44;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2009-2012, 2017-2020";"Ocean Engineering (Q3); Political Science and International Relations (Q3); Water Science and Technology (Q3); Management, Monitoring, Policy and Law (Q4); Safety Research (Q4); Transportation (Q4)"
