Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
33;24021;"Marine Environmental Research";journal;"18790291, 01411136";0,984;Q1;89;170;550;13162;1821;545;2,94;77,42;Netherlands;Western Europe;"Elsevier BV";"1978-2020";"Aquatic Science (Q1); Medicine (miscellaneous) (Q1); Oceanography (Q1); Pollution (Q1)"
34;29034;"Aquatic Sciences";journal;"14209055, 10151621";0,981;Q1;70;72;185;4813;505;180;2,41;66,85;Switzerland;Western Europe;"Birkhauser Verlag Basel";"1982, 1989-2020";"Aquatic Science (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Water Science and Technology (Q1)"
35;29606;"Journal of Experimental Marine Biology and Ecology";journal;"00220981";0,972;Q1;119;112;487;7014;1146;483;2,43;62,63;Netherlands;Western Europe;"Elsevier";"1967-2020";"Aquatic Science (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
36;4700152445;"Estuaries and Coasts";journal;"15592731, 15592723";0,969;Q1;100;202;453;12648;1126;421;2,55;62,61;United States;Northern America;"Springer New York";"1978-2001, 2006-2020";"Aquatic Science (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
37;17510;"Journal of Great Lakes Research";journal;"03801330";0,963;Q1;73;138;417;8216;1053;398;1,93;59,54;United States;Northern America;"International Association of Great Lakes Research";"1970, 1975-2020";"Aquatic Science (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
38;29426;"Aquaculture Nutrition";journal;"13535773, 13652095";0,949;Q1;72;145;460;8047;1318;458;2,54;55,50;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1995-2020";"Aquatic Science (Q1)"
39;29635;"Journal of Plankton Research";journal;"14643774, 01427873";0,943;Q1;90;73;193;4330;440;186;2,10;59,32;United Kingdom;Western Europe;"Oxford University Press";"1979-2020";"Aquatic Science (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
40;21100244807;"Algae";journal;"20930860, 12262617";0,935;Q1;19;26;92;1203;269;83;3,51;46,27;South Korea;Asiatic Region;"The Korean Society of Phycology";"2013-2019";"Aquatic Science (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
41;15168;"Hydrobiologia";journal;"15735117, 00188158";0,928;Q1;134;401;1302;27065;3197;1267;2,52;67,49;Netherlands;Western Europe;"Springer Netherlands";"1948-2020";"Aquatic Science (Q1)"
42;26817;"Continental Shelf Research";journal;"02784343";0,924;Q1;106;151;504;9615;1270;497;2,53;63,68;United Kingdom;Western Europe;"Elsevier Ltd.";"1982-2020";"Aquatic Science (Q1); Geology (Q1); Oceanography (Q1)"
43;26844;"Estuarine, Coastal and Shelf Science";journal;"10960015, 02727714";0,920;Q1;126;438;1024;29802;2934;996;2,51;68,04;United States;Northern America;"Academic Press Inc.";"1981-2020";"Aquatic Science (Q1); Oceanography (Q1)"
44;24761;"California Cooperative Oceanic Fisheries, Investigations Reports";journal;"05753317";0,909;Q1;38;3;18;187;36;18;1,00;62,33;United States;Northern America;"Scripps Institution of Oceanography";"1976, 1980, 1983-1984, 1996-2019";"Aquatic Science (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
45;22663;"Marine Mammal Science";journal;"17487692, 08240469";0,900;Q1;74;108;243;6007;467;199;2,24;55,62;United States;Northern America;"Wiley-Blackwell";"1985-2020";"Aquatic Science (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
46;19184;"Journal of Applied Phycology";journal;"15735176, 09218971";0,890;Q1;101;402;987;21534;3327;971;3,16;53,57;Netherlands;Western Europe;"Springer Netherlands";"1989-2020";"Aquatic Science (Q1); Plant Science (Q1)"
47;21100206006;"Marine and Coastal Fisheries";journal;"19425120";0,864;Q1;25;36;133;1988;244;128;1,88;55,22;United States;Northern America;"John Wiley &amp; Sons Inc.";"2009-2020";"Aquatic Science (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
48;16099;"Marine Biotechnology";journal;"14362236, 14362228";0,862;Q1;74;73;185;3810;595;183;3,50;52,19;Germany;Western Europe;"Springer New York";"1999-2020";"Aquatic Science (Q1); Biotechnology (Q2)"
49;22560;"Journal of Fish Biology";journal;"00221112, 10958649";0,860;Q1;108;297;892;16220;1782;856;1,52;54,61;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1969-2020";"Aquatic Science (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
50;19620;"Aquatic Microbial Ecology";journal;"16161564, 09483055";0,843;Q1;101;38;95;2378;204;95;1,87;62,58;Germany;Western Europe;"Inter-Research";"1995-2020";"Aquatic Science (Q1); Ecology, Evolution, Behavior and Systematics (Q2)"
51;21100232821;"Inland Waters";journal;"20442041, 2044205X";0,830;Q1;21;52;151;3201;349;149;1,74;61,56;United Kingdom;Western Europe;"Freshwater Biological Association";"2012-2020";"Aquatic Science (Q1); Water Science and Technology (Q1)"
52;18021;"European Journal of Phycology";journal;"14694433, 09670262";0,826;Q1;68;55;126;3345;350;122;3,10;60,82;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1993-2020";"Aquatic Science (Q1); Plant Science (Q1)"
53;28333;"Ocean and Coastal Management";journal;"09645691";0,822;Q1;77;317;811;21144;2346;776;2,77;66,70;United Kingdom;Western Europe;"Elsevier BV";"1992-2020";"Aquatic Science (Q1); Management, Monitoring, Policy and Law (Q2); Oceanography (Q2)"
54;21449;"Ecology of Freshwater Fish";journal;"16000633, 09066691";0,802;Q1;52;66;238;4388;455;229;2,08;66,48;Denmark;Western Europe;"Blackwell Munksgaard";"1992-2020";"Aquatic Science (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q2)"
55;29417;"Aquacultural Engineering";journal;"01448609";0,800;Q1;67;49;145;2141;452;140;3,27;43,69;Netherlands;Western Europe;"Elsevier";"1982-2020";"Aquatic Science (Q1)"
56;16516;"Phycologia";journal;"00318884, 23302968";0,789;Q1;63;64;194;3746;428;190;2,31;58,53;United States;Northern America;"Allen Press Inc.";"1981, 1983-1984, 1988-2020";"Aquatic Science (Q1); Plant Science (Q1)"
57;11700154718;"Marine Genomics";journal;"18747787, 18767478";0,787;Q2;29;78;230;3423;444;226;1,64;43,88;Netherlands;Western Europe;"Elsevier";"2008-2020";"Aquatic Science (Q2); Genetics (Q3)"
58;13043;"Aquatic Ecology";journal;"13862588, 15735125";0,768;Q2;56;54;125;3557;340;120;1,53;65,87;Netherlands;Western Europe;"Springer Netherlands";"1996-2020";"Aquatic Science (Q2); Ecology, Evolution, Behavior and Systematics (Q2)"
59;3900148224;"Comparative Biochemistry and Physiology - Part D: Genomics and Proteomics";journal;"1744117X";0,763;Q2;38;97;147;6422;417;145;3,00;66,21;Netherlands;Western Europe;"Elsevier Inc.";"2006-2020";"Animal Science and Zoology (Q1); Aquatic Science (Q2); Biochemistry (Q2); Genetics (Q3); Molecular Biology (Q3); Physiology (Q3)"
60;13527;"Journal of Fish Diseases";journal;"13652761, 01407775";0,763;Q2;80;172;536;6837;1207;533;2,32;39,75;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1978-2020";"Veterinary (miscellaneous) (Q1); Aquatic Science (Q2)"
61;12762;"Fisheries Management and Ecology";journal;"0969997X, 13652400";0,762;Q2;52;71;156;3903;320;152;1,88;54,97;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1994-2020";"Aquatic Science (Q2); Ecology (Q2)"
62;21100804573;"Information Processing in Agriculture";journal;"22143173";0,756;Q2;20;73;108;3051;637;108;6,58;41,79;China;Asiatic Region;"Elsevier BV";"2014-2020";"Agronomy and Crop Science (Q1); Animal Science and Zoology (Q1); Forestry (Q1); Aquatic Science (Q2); Computer Science Applications (Q2)"
