Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
176;13617;"Russian Journal of Marine Biology";journal;"15739457, 10630740";0,226;Q4;21;65;224;2494;125;223;0,49;38,37;Russian Federation;Eastern Europe;"Pleiades Publishing";"1996-2019";"Aquatic Science (Q4); Oceanography (Q4)"
177;19900193893;"Acta Limnologica Brasiliensia";journal;"01026712, 2179975X";0,225;Q4;13;42;104;1838;75;102;0,64;43,76;Brazil;Latin America;"Brazilian Society of Limnology";"2011-2020";"Ecology (Q3); Water Science and Technology (Q3); Aquatic Science (Q4); Ecology, Evolution, Behavior and Systematics (Q4)"
178;23238;"Nautilus";journal;"00281344";0,225;Q4;17;9;37;392;18;36;0,50;43,56;United States;Northern America;"Bailey-Matthews Shell Museum";"1996-2015, 2017-2019";"Aquatic Science (Q4); Ecology, Evolution, Behavior and Systematics (Q4)"
179;17714;"Nippon Suisan Gakkaishi";journal;"00215392, 1349998X";0,221;Q4;24;122;556;1195;87;369;0,31;9,80;Japan;Asiatic Region;"Nihon Suisan Gakkai";"1932-1944, 1947-2020";"Aquatic Science (Q4)"
180;11500153501;"Pan-American Journal of Aquatic Sciences";journal;"18099009";0,221;Q4;18;17;94;732;60;94;0,69;43,06;Brazil;Latin America;"Panamjas";"2008-2019";"Aquatic Science (Q4); Ecology, Evolution, Behavior and Systematics (Q4)"
181;19400157218;"Thalassas";journal;"02125919";0,221;Q4;11;83;80;3199;53;80;0,60;38,54;Spain;Western Europe;"Universidade de Vigo";"2005, 2008-2020";"Aquatic Science (Q4); Oceanography (Q4)"
182;19700174638;"Freshwater Crayfish";conference and proceedings;"20764324";0,218;-;10;0;15;0;6;15;0,43;0,00;United States;Northern America;"";"20764324";"Aquatic Science; Ecology, Evolution, Behavior and Systematics"
183;15500154702;"Journal of Fisheries and Aquatic Science (discontinued)";journal;"19960751, 18164927";0,218;Q4;15;0;47;0;36;45;0,00;0,00;Pakistan;Asiatic Region;"Asian Network for Scientific Information";"2008-2016";"Animal Science and Zoology (Q4); Aquatic Science (Q4)"
184;21502;"Bulletin of the European Association of Fish Pathologists";journal;"01080288";0,216;Q4;36;20;90;468;46;89;0,38;23,40;United Kingdom;Western Europe;"FRS Marine Laboratory";"1996-2019";"Small Animals (Q3); Aquatic Science (Q4)"
185;13509;"Israeli Journal of Aquaculture - Bamidgeh";journal;"0792156X";0,215;Q4;27;0;107;0;50;107;0,46;0,00;Israel;Middle East;"Israeli Journal of Aquaculture - Bamidgeh";"1988-2017";"Agronomy and Crop Science (Q3); Aquatic Science (Q4)"
186;13868;"Cahiers de Biologie Marine";journal;"22623094, 00079723";0,214;Q4;32;5;97;178;52;97;0,60;35,60;France;Western Europe;"Station Biologique de Roscoff";"1992-2019";"Aquatic Science (Q4)"
187;21100265636;"Acta Zoologica Bulgarica";journal;"03240770";0,211;Q4;13;79;351;3039;141;350;0,38;38,47;Bulgaria;Eastern Europe;"Bulgarian Academy of Sciences";"2010-2019";"Animal Science and Zoology (Q4); Aquatic Science (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Insect Science (Q4)"
188;21100945962;"Genetics of Aquatic Organisms";journal;"24591831, 25872265";0,209;Q4;2;10;20;439;9;20;0,45;43,90;India;Asiatic Region;"Central Fisheries Research Institute";"2017-2020";"Aquatic Science (Q4); Genetics (Q4)"
189;24764;"California Fish and Game";journal;"00081078";0,207;Q4;17;8;56;231;17;46;0,21;28,88;United States;Northern America;"Department of Fish and Game";"1979-1984, 1990, 1996-2019";"Animal Science and Zoology (Q4); Aquatic Science (Q4)"
190;21100821197;"Iranian Journal of Ichthyology";journal;"23831561, 23830964";0,205;Q4;10;19;87;1488;44;87;0,51;78,32;Iran;Middle East;"Iranian Society of Ichthyology";"2014-2020";"Aquatic Science (Q4)"
191;21100225849;"Geo-Eco-Marina";journal;"12246808, 22482776";0,202;Q4;7;19;40;792;23;40;0,47;41,68;Romania;Eastern Europe;"Institutul National de Cercetare-Dezvoltare pentru Geologie si Geoecologie Marina";"2011-2019";"Earth and Planetary Sciences (miscellaneous) (Q3); Geography, Planning and Development (Q3); Aquatic Science (Q4); Ecology (Q4); Ecology, Evolution, Behavior and Systematics (Q4)"
192;15169;"Hydrobiological Journal";journal;"03758990, 00188166";0,199;Q4;9;60;179;1565;54;179;0,26;26,08;United States;Northern America;"Begell House Inc.";"1974-1976, 1978-1983, 1987-2020";"Water Science and Technology (Q3); Aquatic Science (Q4); Ecology (Q4)"
193;22019;"Indian Journal of Fisheries";journal;"09706011";0,199;Q4;11;79;304;2909;132;218;0,50;36,82;India;Asiatic Region;"Indian Journal of Fisheries for the Indian Council of Agricultural Research";"1974, 1977-1983, 2009-2014, 2016-2019";"Aquatic Science (Q4)"
194;21100786314;"Haiyang Xuebao";journal;"02534193";0,189;Q4;4;145;405;5369;166;405;0,40;37,03;China;Asiatic Region;"Editorial Office of Haiyang Xuebao";"2016-2020";"Ocean Engineering (Q3); Aquatic Science (Q4); Oceanography (Q4)"
195;19203;"Journal of Aquatic Plant Management (discontinued)";journal;"01466623";0,189;Q4;29;0;39;0;30;39;0,50;0,00;United States;Northern America;"Aquatic Plant Management Society, Inc.";"1979, 1994-2017";"Aquatic Science (Q4); Management, Monitoring, Policy and Law (Q4); Plant Science (Q4)"
196;21100785514;"Journal of Fishery Sciences of China";journal;"10058737";0,188;Q4;4;37;302;1257;94;302;0,31;33,97;China;Asiatic Region;"Chinese Academy of Fishery Sciences";"2016-2019";"Aquatic Science (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Management, Monitoring, Policy and Law (Q4)"
197;21100439341;"Ruthenica";journal;"01360027, 23077336";0,187;Q4;3;17;52;657;13;52;0,23;38,65;Russian Federation;Eastern Europe;"Institute of Ecology and Evolution of Russian Academy of Sciences";"2015-2019";"Animal Science and Zoology (Q4); Aquatic Science (Q4); Ecology, Evolution, Behavior and Systematics (Q4)"
198;21100787088;"Journal of Fisheries of China";journal;"10000615";0,186;Q4;5;178;590;6564;195;590;0,32;36,88;China;Asiatic Region;"Shanghai Ocean University";"2016-2020";"Aquatic Science (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Management, Monitoring, Policy and Law (Q4)"
199;14520;"Vie et Milieu";journal;"02408759";0,181;Q4;32;8;83;415;41;81;0,51;51,88;France;Western Europe;"Universite de Paris VI (Pierre et Marie Curie)";"1980-1987, 1989-2019";"Aquatic Science (Q4); Ecology (Q4)"
200;21100828135;"Aquaculture Science";journal;"03714217, 21850194";0,173;Q4;3;11;89;347;21;89;0,19;31,55;Japan;Asiatic Region;"Japanese Society for Aquaculture Research, Nishimura Toushadou Ltd.";"2016-2017, 2019";"Animal Science and Zoology (Q4); Aquatic Science (Q4)"
201;5000154002;"Gayana";journal;"0717652X, 07176538";0,170;Q4;16;8;51;283;19;48;0,15;35,38;Chile;Latin America;"Universidad de Concepcion";"2006-2019";"Animal Science and Zoology (Q4); Aquatic Science (Q4)"
202;21100869867;"Asian Fisheries Science";journal;"20733720, 01166514";0,168;Q4;6;25;73;934;27;73;0,37;37,36;Malaysia;Asiatic Region;"Asian Fisheries Society";"2009, 2017-2019";"Aquatic Science (Q4); Ecology (Q4); Food Science (Q4)"
203;21100456639;"Journal of Integrated Coastal Zone Management";journal;"16468872";0,165;Q4;6;12;43;449;17;43;0,25;37,42;Portugal;Western Europe;"APRH (Associacao Portuguesa dos Recursos Hidricos)";"2015-2019";"Aquatic Science (Q4); Management, Monitoring, Policy and Law (Q4); Oceanography (Q4); Water Science and Technology (Q4)"
204;21100220106;"Hidrobiologica";journal;"01888897";0,163;Q4;14;6;121;336;48;116;0,36;56,00;Mexico;Latin America;"Department of Hydrobiology,Universidad Autonoma Metropolitana-Unidad Iztapalapa";"2007-2019";"Aquatic Science (Q4); Ecology (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Oceanography (Q4); Water Science and Technology (Q4)"
205;21100840723;"Egyptian Journal of Aquatic Biology and Fisheries";journal;"25369814, 11106131";0,160;Q4;4;176;122;7195;47;122;0,39;40,88;Egypt;Africa/Middle East;"Egyptian Society for the Development of Fisheries and Human Health";"2017-2020";"Aquatic Science (Q4)"
206;21100427836;"Annales, Series Historia Naturalis";journal;"1408533X";0,151;Q4;6;22;30;717;13;30;0,48;32,59;Slovenia;Eastern Europe;"University of Primorska";"2013-2019";"Aquatic Science (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Plant Science (Q4)"
207;67906;"Oceanologia et Limnologia Sinica";journal;"0029814X";0,146;Q4;4;141;442;5029;108;441;0,24;35,67;China;Asiatic Region;"hai yang yu hu zhao bian ji bu";"1988, 2016-2020";"Aquatic Science (Q4); Oceanography (Q4); Water Science and Technology (Q4)"
